drugname,pt,count_a,prr,chi2
CLOPIDOGREL BISULFATE,IRON DEFICIENCY ANAEMIA,4,4244.429640037887,6495.93203231759
CLOPIDOGREL BISULFATE,GASTROINTESTINAL TRACT ADENOMA,4,4244.429640037887,6495.93203231759
CLOPIDOGREL BISULFATE,CYSTATIN C INCREASED,4,4244.429640037887,6495.93203231759
FAMCICLOVIR 250MG,INTRA-ABDOMINAL FLUID COLLECTION,4,2425.9228205552386,6495.549444187865
CALCITRIOL 0.5MCG,GASTRIC PERFORATION,4,2425.9228205552386,6495.549444187865
SULFAMETH/TRIMETH 400-80MG,GASTRIC PERFORATION,4,2425.9228205552386,6495.549444187865
SULFAMETH/TRIMETH 400-80MG,INTRA-ABDOMINAL FLUID COLLECTION,4,2425.9228205552386,6495.549444187865
CALCITRIOL 0.5MCG,INTRA-ABDOMINAL FLUID COLLECTION,4,2425.9228205552386,6495.549444187865
FAMCICLOVIR 250MG,GASTRIC PERFORATION,4,2425.9228205552386,6495.549444187865
AMPICILLIN,SUSPECTED DRUG-INDUCED LIVER INJURY,4,2830.0491662186105,6495.421924825818
ARALAST NP,SINUS DISORDER,8,1029.1230852906037,6442.635743596767
ZOLOFT 50MD Q DAY,APPENDICITIS,6,1498.2777852443592,6412.557731419105
ANORO ELLIPTA,BRONCHIAL SECRETION RETENTION,8,1078.06355301886,6356.159612625961
CUTAQUIG,ORAL MUCOSAL BLISTERING,12,1099.1460768315296,6287.4790741819115
VONVENDI,METABOLIC SURGERY,8,1072.3787479884245,6272.328712233553
MOXIFLOXACIN,INTRACRANIAL PRESSURE INCREASED,3,3638.8577480687004,6239.485679469413
VYVGART,IMPAIRED DRIVING ABILITY,32,282.64233657253277,6218.32016503619
ASPIRIN CHEWABLE TABLET 162 MG,PULSE ABSENT,4,2612.356488708242,6112.956663863367
AMPICILLIN,COAGULOPATHY,4,2612.356488708242,6112.956663863367
SIROLIMUS,ANEURYSM,9,985.7787894641729,6075.311035649428
BRAFTOVI,LARGE INTESTINE PERFORATION,3,5821.2046313767405,6061.428810857561
ADYNOVATE,HAEMORRHAGE,8,998.8146368811135,6059.348047600155
METHYLPREDNISOLONE SODIUM SUCCINATE 125 MG IV PUSH,ANAPHYLACTIC REACTION,12,569.2147597458237,6058.5036891084865
IBUPROFEN 600 MG PO Q6H,ANAPHYLACTIC REACTION,12,569.2147597458237,6058.5036891084865
GENTAMICIN 5 MG/KG Q24H,ANAPHYLACTIC REACTION,12,569.2147597458237,6058.5036891084865
DEXAMETHASONE 12 MG IV,ANAPHYLACTIC REACTION,12,569.2147597458237,6058.5036891084865
ACETAMINOPHEN 650 MG PO ONCE,ANAPHYLACTIC REACTION,12,569.2147597458237,6058.5036891084865
PALONOSETRON 0.25 MG IV,ANAPHYLACTIC REACTION,12,569.2147597458237,6058.5036891084865
OXYTOCIN 30 UNITS/500 ML CONTINUOUS INFUSION,ANAPHYLACTIC REACTION,12,569.2147597458237,6058.5036891084865
BREYNA,BRONCHIAL SECRETION RETENTION,8,1021.3133410539724,6020.895144558364
DEXAMETHASONE,GUILLAIN-BARRE SYNDROME,24,495.40205135886237,6011.213787209243
CYCLOSPORINE MODIFIED,HYDRANENCEPHALY,4,2122.730571059585,5995.824358900735
POLYETHYLENE GLYCOL 3350,CANCER CELLS PRESENT,4,2239.302383983537,5995.3829398570115
GLASSIA,IMMUNE SYSTEM DISORDER,8,1001.2435206899124,5945.6326508908105
VENLFAXINE,RESPIRATORY FAILURE,13,508.17430531067873,5903.84771152215
TERLIPRESSIN,RESPIRATORY FAILURE,13,508.17430531067873,5903.84771152215
PREDNISOLONE,RESPIRATORY FAILURE,13,508.17430531067873,5903.84771152215
